primaryTitle,movieId,T_Const,startYear,averageRating,numVotes,Family,Biography,Musical,Reality-TV,Music,War,Action,Mystery,Sport,Drama,Short,Talk-Show,Game-Show,Fantasy,Documentary,Thriller,Adventure,Comedy,Romance,History,Film-Noir,Adult,Animation,News,Horror,Western,Sci-Fi,Crime
Yojimbo,194,0055630,-0.35222096799746555,0.17274519123238577,-0.0439874081878776,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cape Fear,196,0055824,-0.3418043013307989,0.09921577946768001,-0.07943968369129326,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence of Arabia,198,0056172,-0.3418043013307989,0.18745107358532714,0.02049019370317566,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Longest Day,203,0056197,-0.3418043013307989,0.09921577946768001,-0.06925220422979508,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Manchurian Candidate,204,0056218,-0.3418043013307989,0.1286275441735624,-0.06178890956909783,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
To Kill a Mockingbird,207,0056592,-0.3418043013307989,0.18745107358532714,0.02943742500792667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8½,208,0056801,-0.33138763466413224,0.14333342652650352,-0.04576591333307118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Birds,215,0056869,-0.33138763466413224,0.08450989711473876,-0.01914151150797066,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Charade,216,0056923,-0.33138763466413224,0.1286275441735624,-0.061200920236303136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,218,0057012,-0.32097096799746555,0.20215695593826827,0.09473790591969651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
From Russia with Love,222,0057076,-0.33138763466413224,0.05509813240885651,-0.03940285115195593,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Great Escape,223,0057115,-0.33138763466413224,0.17274519123238577,0.002147374881549131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Lord of the Flies,224,0057261,-0.33138763466413224,-0.018431279355849362,-0.08330006128220495,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
