,tconst,primaryTitle
593,tt0295721,Taxi 3
594,tt0367479,After the Sunset
595,tt0119664,Metro
596,tt0233142,3000 Miles to Graceland
597,tt0109254,Beverly Hills Cop III
598,tt0172156,Bad Boys II
599,tt0113845,Money Train
600,tt0115783,Bulletproof
601,tt0120609,The Big Hit
602,tt0227984,Formula 51
603,tt0212346,Miss Congeniality
604,tt0181316,Blue Streak
605,tt0266915,Rush Hour 2
606,tt0281364,Wasabi
607,tt0183869,Taxi 2
608,tt0119695,Money Talks
609,tt0099044,Another 48 Hrs.
610,tt0107659,Loaded Weapon 1
611,tt0097637,K-9
612,tt0152930,Taxi
613,tt0099422,Dick Tracy
614,tt0120812,Rush Hour
615,tt0113326,Rumble in the Bronx
616,tt0099938,Kindergarten Cop
617,tt0095963,Red Heat
618,tt0112442,Bad Boys
619,tt0363226,The Blind Swordsman: Zatoichi
620,tt0110475,The Mask
621,tt0098439,Tango & Cash
622,tt0092644,Beverly Hills Cop II
623,tt0119229,Grosse Pointe Blank
624,tt0102266,The Last Boy Scout
625,tt0094025,Stakeout
626,tt0087995,Repo Man
627,tt0242519,Hera Pheri
628,tt0119472,Knockin' on Heaven's Door
629,tt0083511,48 Hrs.
630,tt0095631,Midnight Run
631,tt0086960,Beverly Hills Cop
632,tt0089374,Police Story
633,tt0064505,The Italian Job
634,tt6513656,Escape Plan 2: Hades
635,tt1712170,Alex Cross
636,tt0094963,The Dead Pool
637,tt0108238,Striking Distance
638,tt0365929,Whiteout
639,tt0070355,Magnum Force
640,tt0181689,Minority Report
641,tt3253930,Marshland
642,tt0327554,Catwoman
643,tt0831887,The Spirit
644,tt1536537,What Happened to Monday
645,tt0103776,Batman Returns
646,tt0287978,Daredevil
647,tt0101764,Double Impact
648,tt0351977,Walking Tall
649,tt0137494,Entrapment
650,tt0993840,Army of the Dead
651,tt6246322,Don't Breathe 2
652,tt0873886,Red State
653,tt0116367,From Dusk Till Dawn
654,tt1788391,Kill List
655,tt4853102,Batman: The Killing Joke
656,tt0113568,Ghost in the Shell
657,tt0275277,Cowboy Bebop: The Movie
658,tt0421054,Domino
659,tt1586752,Machine Gun Preacher
660,tt1152836,Public Enemies
661,tt0765432,The Baader Meinhof Complex
662,tt1620933,Paan Singh Tomar
663,tt1259014,Mesrine: Killer Instinct
664,tt1535109,Captain Phillips
665,tt0411272,Mesrine: Public Enemy No. 1
666,tt0079116,Escape from Alcatraz
667,tt1172570,Bronson
668,tt0061418,Bonnie and Clyde
669,tt0023427,Scarface
670,tt0042041,White Heat
671,tt0040506,Key Largo
672,tt0067116,The French Connection
673,tt0069762,Badlands
674,tt0070034,Enter the Dragon
675,tt0067824,The Big Boss
676,tt0071402,Death Wish
677,tt0083190,Thief
678,tt0090180,To Live and Die in L.A.
679,tt0090022,Silverado
680,tt0097202,The Killer
681,tt0093640,No Way Out
682,tt0097027,Casualties of War
683,tt0106856,Falling Down
684,tt0094894,Colors
685,tt0104573,Juice
686,tt0109506,The Crow
687,tt0107206,In the Line of Fire
688,tt0106977,The Fugitive
689,tt0110632,Natural Born Killers
690,tt0102526,New Jack City
691,tt0109444,Clear and Present Danger
692,tt0097770,Lock Up
693,tt0100029,Lionheart
694,tt0094602,Above the Law
695,tt0120768,The Negotiator
696,tt0116908,The Long Kiss Goodnight
697,tt0100514,The Rookie
698,tt0099739,Hard to Kill
699,tt0107969,Rising Sun
700,tt0119099,Fallen
701,tt0113501,Just Cause
702,tt0114194,The Prophecy
703,tt0109303,Blown Away
704,tt0107843,Point of No Return
705,tt0118548,Absolute Power
706,tt0113972,Nick of Time
707,tt0116830,Last Man Standing
708,tt0137363,Arlington Road
709,tt0120784,Payback
710,tt0119395,The Jackal
711,tt0113957,The Net
712,tt0118972,The Devil's Own
713,tt0119731,Murder at 1600
714,tt0120749,Mercury Rising
715,tt0120696,Hard Rain
716,tt0202677,The Way of the Gun
717,tt0192614,The Skulls
718,tt0218817,Antitrust
719,tt0179626,15 Minutes
720,tt0208988,Get Carter
721,tt0252503,Heist
722,tt0281322,Undisputed
723,tt0296042,Ichi the Killer
724,tt0306685,Cradle 2 the Grave
725,tt0266465,A Man Apart
726,tt0269347,The Hunted
727,tt0227445,The Score
728,tt0309377,Blood Work
729,tt0264395,Basic
730,tt0360009,Spartan
731,tt0398712,Assault on Precinct 13
732,tt0365686,Revolver
733,tt0330793,The Punisher
734,tt0402910,Chaos
735,tt0340163,Hostage
736,tt0433387,Harsh Times
737,tt0430105,Four Brothers
738,tt0113277,Heat
739,tt0110413,Léon: The Professional
740,tt0468569,The Dark Knight
741,tt0266697,Kill Bill: Vol. 1
742,tt0372784,Batman Begins
743,tt0427954,The Protector
744,tt0342258,Unleashed
745,tt0139654,Training Day
746,tt0476964,The Brave One
747,tt0498399,We Own the Night
748,tt0375912,Layer Cake
749,tt0393109,Brick
750,tt0369339,Collateral
751,tt0328107,Man on Fire
752,tt0800308,Appaloosa
753,tt0399146,A History of Violence
754,tt0988047,Traitor
755,tt0443274,Vantage Point
756,tt0381849,3:10 to Yuma
757,tt0456912,A Bittersweet Life
758,tt0338564,Infernal Affairs
759,tt1216487,The Girl Who Played with Fire
760,tt0346631,Blood and Bone
761,tt1210042,Brooklyn's Finest
762,tt1197624,Law Abiding Citizen
763,tt1289406,Harry Brown
764,tt1458175,The Next Three Days
765,tt0861739,Elite Squad
766,tt1190539,The Chaser
767,tt1242422,Celda 211
768,tt1280558,A Wednesday
769,tt1588170,I Saw the Devil
770,tt1527788,The Man from Nowhere
771,tt1555149,Elite Squad 2: The Enemy Within
772,tt3397884,Sicario
773,tt1937149,The Body
774,tt3890160,Baby Driver
775,tt3390572,Haider
776,tt1821700,To Strike
777,tt1877830,The Batman
778,tt6148156,Vikram Vedha
779,tt7838252,K.G.F: Chapter 1
780,tt4434004,Udta Punjab
781,tt10698680,K.G.F: Chapter 2
782,tt1798684,Southpaw
783,tt2614684,'71
784,tt4572514,Patriots Day
785,tt7888964,Nobody
786,tt9243946,El Camino: A Breaking Bad Movie
787,tt2937898,A Most Violent Year
788,tt5657856,Brawl in Cell Block 99
789,tt5460276,Kaabil
790,tt1167638,22 Bullets
791,tt1259528,Den of Thieves
792,tt0963178,The International
793,tt1823672,Chappie
794,tt1321870,Gangster Squad
795,tt1206543,Out of the Furnace
796,tt13491110,Antim: The Final Truth
797,tt1433108,Faster
798,tt1524137,Contraband
799,tt1615065,Savages
800,tt0365907,A Walk Among the Tombstones
801,tt1440728,The American
802,tt3405236,Raees
803,tt2101341,Dead Man Down
804,tt1135084,Takers
805,tt2345737,The Rover
806,tt2452200,Son of a Gun
807,tt1219827,Ghost in the Shell
808,tt1893256,Redemption
809,tt2368619,The Take
810,tt1214962,Seeking Justice
811,tt1137450,Death Wish
812,tt1235522,Broken City
813,tt0450314,Punisher: War Zone
814,tt3393786,Jack Reacher: Never Go Back
815,tt7137380,Destroyer
816,tt3276924,Heist
817,tt5834262,Hotel Artemis
818,tt5177088,The Girl in the Spider's Web
819,tt6259380,Code 8
820,tt1646980,The Double
821,tt4998632,Ambulance
822,tt1602613,Only God Forgives
823,tt1742334,Sabotage
824,tt2231253,Wild Card
825,tt1082601,Fighting
826,tt9783600,Spiderhead
827,tt1833673,Dhoom 3
828,tt0411951,Tekken
829,tt0329774,xXx: State of the Union
830,tt0257076,S.W.A.T.
831,tt0357277,Elektra
832,tt0120179,Speed 2: Cruise Control
833,tt0184858,Reindeer Games
834,tt0430357,Miami Vice
835,tt3522806,Mechanic: Resurrection
